                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 3.5841,                 4.7198,                  3.873,                      0,                      0,                      0,                      0,                 3.8464,                 4.6517,                 3.9063,               0.066361,              0.0033612,              0.0033612
                     38,                 3.6867,                 4.8728,                 3.9273,                      0,                      0,                      0,                      0,                  3.845,                 4.6524,                 3.8994,               0.065443,              0.0034426,              0.0034426
                     39,                 3.7328,                 4.5741,                 3.8711,                      0,                      0,                      0,                      0,                  3.845,                 4.6524,                 3.8994,               0.064524,              0.0035236,              0.0035236
                     40,                 3.7003,                 4.9635,                 3.8551,                      0,                      0,                      0,                      0,                 3.8385,                   4.66,                 3.8928,               0.063604,               0.003604,               0.003604
                     41,                 3.6063,                 4.5509,                 3.8434,                      0,                      0,                      0,                      0,                 3.8385,                   4.66,                 3.8928,               0.062684,               0.003684,               0.003684
                     42,                 3.5788,                 4.7544,                 3.8581,                      0,                      0,                      0,                      0,                 3.8363,                 4.6677,                 3.8874,               0.061763,              0.0037634,              0.0037634
                     43,                  3.813,                 4.6338,                 3.8196,                      0,                      0,                      0,                      0,                 3.8363,                 4.6677,                 3.8874,               0.060842,              0.0038424,              0.0038424
                     44,                 3.4033,                  4.631,                 3.7967,                      0,                      0,                      0,                      0,                 3.8367,                 4.6782,                 3.8828,               0.059921,              0.0039208,              0.0039208
                     45,                 3.6148,                 4.4273,                 3.8166,                      0,                      0,                      0,                      0,                 3.8367,                 4.6782,                 3.8828,               0.058999,              0.0039988,              0.0039988
                     46,                 3.9044,                 4.9751,                 3.7629,                      0,                      0,                      0,                      0,                 3.8357,                 4.6903,                 3.8787,               0.058076,              0.0040763,              0.0040763
                     47,                 3.7335,                 4.6364,                 3.7785,                      0,                      0,                      0,                      0,                 3.8357,                 4.6903,                 3.8787,               0.057153,              0.0041533,              0.0041533
                     48,                 3.5167,                 4.5175,                 3.8241,                      0,                      0,                      0,                      0,                 3.8349,                 4.7078,                 3.8756,                0.05623,              0.0042298,              0.0042298
                     49,                    3.5,                 4.6871,                 3.8485,                      0,                      0,                      0,                      0,                 3.8349,                 4.7078,                 3.8756,               0.055306,              0.0043058,              0.0043058
                     50,                 3.3716,                  4.498,                 3.8218,                      0,                      0,                      0,                      0,                 3.8311,                 4.7277,                 3.8723,               0.054381,              0.0043812,              0.0043812
                     51,                 3.2911,                 4.1109,                 3.7991,                      0,                      0,                      0,                      0,                 3.8311,                 4.7277,                 3.8723,               0.053456,              0.0044563,              0.0044563
                     52,                 3.9152,                 4.4677,                 3.8328,                      0,                      0,                      0,                      0,                 3.8316,                  4.168,                   3.87,               0.052531,              0.0045308,              0.0045308
                     53,                 3.5494,                 4.2061,                 3.7246,                      0,                      0,                      0,                      0,                 3.8316,                  4.168,                   3.87,               0.051605,              0.0046048,              0.0046048
                     54,                 3.7509,                 4.4027,                 3.8466,                      0,                      0,                      0,                      0,                 3.8366,                 4.1727,                 3.8669,               0.050678,              0.0046783,              0.0046783
                     55,                 3.7344,                 4.5865,                 3.8063,                      0,                      0,                      0,                      0,                 3.8366,                 4.1727,                 3.8669,               0.049751,              0.0047513,              0.0047513
                     56,                 3.8257,                 4.3149,                 3.7712,                      0,                      0,                      0,                      0,                 3.8324,                 4.1643,                 3.8655,               0.048824,              0.0048238,              0.0048238
                     57,                 3.7202,                 4.3818,                  3.814,                      0,                      0,                      0,                      0,                 3.8324,                 4.1643,                 3.8655,               0.047896,              0.0048959,              0.0048959
                     58,                 3.5777,                 4.4268,                 3.7887,                      0,                      0,                      0,                      0,                 3.8268,                 4.1622,                 3.8634,               0.046967,              0.0049674,              0.0049674
                     59,                 3.6012,                 4.0275,                 3.7302,                      0,                      0,                      0,                      0,                 3.8268,                 4.1622,                 3.8634,               0.046038,              0.0050385,              0.0050385
                     60,                 3.5869,                   4.32,                 3.7775,                      0,                      0,                      0,                      0,                 3.8268,                 4.1675,                 3.8612,               0.045109,               0.005109,               0.005109
                     61,                 3.3174,                 4.2001,                 3.7003,                      0,                      0,                      0,                      0,                 3.8268,                 4.1675,                 3.8612,               0.044179,              0.0051791,              0.0051791
                     62,                 3.5511,                 4.7205,                 3.7924,                      0,                      0,                      0,                      0,                 3.8247,                 4.1868,                 3.8591,               0.043249,              0.0052486,              0.0052486
                     63,                 3.8441,                 4.7317,                 3.7803,                      0,                      0,                      0,                      0,                 3.8247,                 4.1868,                 3.8591,               0.042318,              0.0053177,              0.0053177
                     64,                 3.5264,                 3.9399,                 3.6893,                      0,                      0,                      0,                      0,                 3.8169,                 4.2205,                 3.8595,               0.041386,              0.0053862,              0.0053862
                     65,                 3.4421,                 5.0156,                 3.7708,                      0,                      0,                      0,                      0,                 3.8169,                 4.2205,                 3.8595,               0.040454,              0.0054543,              0.0054543
                     66,                 3.5008,                 4.2964,                  3.658,                      0,                      0,                      0,                      0,                 3.8141,                 4.2406,                 3.8592,               0.039522,              0.0055219,              0.0055219
                     67,                 3.8839,                 4.3281,                 3.9081,                      0,                      0,                      0,                      0,                 3.8141,                 4.2406,                 3.8592,               0.038589,               0.005589,               0.005589
                     68,                 2.9581,                 4.2045,                 3.5801,                      0,                      0,                      0,                      0,                 3.8104,                 4.2632,                 3.8577,               0.037656,              0.0056556,              0.0056556
                     69,                 3.7006,                 3.9382,                 3.7836,                      0,                      0,                      0,                      0,                 3.8104,                 4.2632,                 3.8577,               0.036722,              0.0057217,              0.0057217
                     70,                  3.302,                 4.1269,                 3.7458,                      0,                      0,                      0,                      0,                 3.8118,                 4.2859,                 3.8572,               0.035787,              0.0057872,              0.0057872
                     71,                 3.4137,                 4.3774,                 3.6332,                      0,                      0,                      0,                      0,                 3.8118,                 4.2859,                 3.8572,               0.034852,              0.0058524,              0.0058524
                     72,                 3.4244,                 4.0713,                 3.6816,                      0,                      0,                      0,                      0,                 3.8154,                 4.3185,                 3.8576,               0.033917,               0.005917,               0.005917
                     73,                 3.5167,                 4.7464,                 3.5211,                      0,                      0,                      0,                      0,                 3.8154,                 4.3185,                 3.8576,               0.032981,              0.0059811,              0.0059811
                     74,                   3.02,                 4.2147,                  3.756,                      0,                      0,                      0,                      0,                 3.8173,                 4.3243,                 3.8575,               0.032045,              0.0060447,              0.0060447
                     75,                 3.2214,                    3.7,                 3.6085,                      0,                      0,                      0,                      0,                 3.8173,                 4.3243,                 3.8575,               0.031108,              0.0061078,              0.0061078
                     76,                 3.9825,                 4.1317,                 3.7364,                      0,                      0,                      0,                      0,                 3.8182,                 4.3545,                 3.8572,                0.03017,              0.0061704,              0.0061704
                     77,                 3.4913,                 3.7216,                 3.6956,                      0,                      0,                      0,                      0,                 3.8182,                 4.3545,                 3.8572,               0.029233,              0.0062326,              0.0062326
                     78,                 3.4574,                 4.1802,                 3.6713,                      0,                      0,                      0,                      0,                 3.8293,                 4.3753,                 3.8575,               0.028294,              0.0062942,              0.0062942
                     79,                  3.142,                 3.7572,                 3.5882,                      0,                      0,                      0,                      0,                 3.8293,                 4.3753,                 3.8575,               0.027355,              0.0063554,              0.0063554
                     80,                 3.4563,                 4.0683,                 3.6882,                      0,                      0,                      0,                      0,                 3.8309,                 4.3521,                 3.8551,               0.026416,               0.006416,               0.006416
                     81,                 3.3455,                 4.1772,                 3.6094,                      0,                      0,                      0,                      0,                 3.8309,                 4.3521,                 3.8551,               0.025476,              0.0064762,              0.0064762
                     82,                 3.3854,                 3.8168,                 3.6119,                      0,                      0,                      0,                      0,                 3.8351,                 4.3535,                  3.851,               0.024536,              0.0065358,              0.0065358
                     83,                 3.4177,                 3.8455,                 3.6478,                      0,                      0,                      0,                      0,                 3.8351,                 4.3535,                  3.851,               0.023595,               0.006595,               0.006595
                     84,                 3.1393,                   3.82,                 3.5537,                      0,                      0,                      0,                      0,                 3.8313,                 4.3284,                 3.8489,               0.022654,              0.0066536,              0.0066536
                     85,                 3.0502,                 3.9114,                 3.5007,                      0,                      0,                      0,                      0,                 3.8313,                 4.3284,                 3.8489,               0.021712,              0.0067118,              0.0067118
